cluster_id,cell_type,coarse_cell_type,cell_state,cl_term,cl_term_id,confidence,is_heterogeneous,supporting_genes,cell_type_abbrv_label,color_hex,author_label,author_label_similarity_score
1,Metabolically stressed VSMC,Vascular Smooth Muscle Cells,Stressed and activated,vascular associated smooth muscle cell,CL_0000359,Moderate,FALSE,TNNT2;TNNI1;HSPB1;CRYAB;MYL11;TPM2;DES;ACTC1;SMTN;PRDX1,StressVS,#033e7c,0,
2,Cardiac-like arterial smooth muscle cell,Vascular Smooth Muscle Cells,Phenotypically modulated,vascular associated smooth muscle cell,CL_0000359,Low,TRUE,TNNT2;TNNI1;ACTC1;TPM2;MYL11;DES;ELN;ATP1B4,CardiacV,#05488f,1,
3,Vascular adventitial fibroblast,Stromal Cells,Matrix remodeling and myofibroblast-differentiated,fibroblast,CL_0000057,High,FALSE,COL1A1;COL1A2;COL3A1;SPARC;VIM;DCN;LUM;THY1;MMP2;MMP14,AdvFibro,#956704,2,
4,Myogenic VSMC,Vascular Smooth Muscle Cells,Myogenically activated,vascular associated smooth muscle cell,CL_0000359,Moderate,FALSE,MYOG;MYOD1;ACTA2;DES;TPM2;MYL11;TNNT2;ACTC1;MEF2C;TTN,MyoVSMC,#0752a2,3,
5,ER-stressed contractile VSMC,Vascular Smooth Muscle Cells,Stressed and contractile,vascular associated smooth muscle cell,CL_0000359,Moderate,FALSE,ACTA2;DES;MYL9;MYL11;TNNT2;TNNI1;NES;HSPB1;TPM1;TPM2,ERstrVSM,#095cb3,4,
6,Activated myofibroblast,Stromal Cells,Activated and quiescent,myofibroblast cell,CL_0000186,High,FALSE,SERPINA3;SPARCL1;FN1;COL1A1;TAGLN;VIM;DES;ACTA2;HSPB1;LGALS1,MyoFibro,#f2c25a,5,
7,Synthetic vascular smooth muscle cell,Vascular Smooth Muscle Cells,Synthetic and proliferating,vascular associated smooth muscle cell,CL_0000359,High,FALSE,EBF2;MEOX2;GATA6;PDGFRB;POSTN;SPARC;CNN1;ACTA2;TAGLN,SynthVSM,#0c68ca,6,
8,Senescent vascular smooth muscle cell,Vascular Smooth Muscle Cells,Senescent,vascular associated smooth muscle cell,CL_0000359,Low,FALSE,TAGLN;DES;ACTC1;TPM2;MYL6;MYL9;CDKN2A;MMP3;WIF1,SenVSMC,#0f72db,7,
9,Platelet,Platelets,Activated,platelet,CL_0000233,Low,FALSE,TFPI2;RAC2;CIDEC;RBP4;PPBP;PF4;TREM1;CA9;STC1,Platelet,#009e74,8,
10,Proliferating synthetic VSMC,Vascular Smooth Muscle Cells,Proliferating and synthetic,vascular associated smooth muscle cell,CL_0000359,High,FALSE,MKI67;TOP2A;ACTA2;TAGLN;CCNB1;BUB1;ESCO2;DES;S100A4;SPARC,ProlifVS,#127ced,9,
11,PRAME-positive aberrantly reprogrammed VSMC,Vascular Smooth Muscle Cells,Aberrantly reprogrammed and stressed,vascular associated smooth muscle cell,CL_0000359,High,FALSE,PRAMEF1;PRAMEF9;PRAMEF11;DUXA;TNNT2;TNNI1;TPM1;MYL11,PRAMEVSM,#2b89ee,10,
